空中延时测试：信号源10Hz方波,,,,,,,,,
序号,接收时间戳Tror,信号触发时间戳Ttor,空中延时,,Tror间隔,Ttor间隔,,,
131,179397468,179325122,72346,,399996,400000,,,
132,179797532,179725122,72410,,400064,400000,,,
133,180197493,180125121,72372,,399961,399999,,,
134,180597489,180525121,72368,,399996,400000,,,
135,180997485,180925121,72364,,399996,400000,,,
136,181397480,181325120,72360,,399995,399999,,,
137,181797476,181725120,72356,,399996,400000,,,
138,182197540,182125120,72420,,400064,400000,,,
139,182597501,182525119,72382,,399961,399999,,,
140,182997497,182925119,72378,,399996,400000,,,
141,183397493,183325119,72374,,399996,400000,,,
142,183797488,183725118,72370,,399995,399999,,,
143,184197484,184125118,72366,,399996,400000,,,
144,184597480,184525118,72362,,399996,400000,,,
145,184997475,184925117,72358,,399995,399999,,,
146,185397471,185325117,72354,,399996,400000,,,
147,185797535,185725117,72418,,400064,400000,,,
148,186197496,186125116,72380,,399961,399999,,,
149,186597492,186525116,72376,,399996,400000,,,
150,186997488,186925116,72372,,399996,400000,,,
151,187397483,187325115,72368,,399995,399999,,,
152,187797479,187725115,72364,,399996,400000,,,
153,188197475,188125114,72361,,399996,399999,,,
154,188597470,188525114,72356,,399995,400000,,,
155,188997466,188925114,72352,,399996,400000,,,
156,189397530,189325113,72417,,400064,399999,,,
157,189797525,189725113,72412,,399995,400000,,,
158,190197487,190125113,72374,,399962,400000,,,
159,190597483,190525112,72371,,399996,399999,,,
160,190997478,190925112,72366,,399995,400000,,,
161,191397474,191325112,72362,,399996,400000,,,
162,191797470,191725111,72359,,399996,399999,,,
163,192197465,192125111,72354,,399995,400000,,,
164,192597461,192525111,72350,,399996,400000,,,
165,192997525,192925110,72415,,400064,399999,,,
166,193397486,193325110,72376,,399961,400000,,,
167,193797482,193725110,72372,,399996,400000,,,
168,194197478,194125109,72369,,399996,399999,,,
169,194597473,194525109,72364,,399995,400000,,,
170,194997469,194925109,72360,,399996,400000,,,
171,195397465,195325108,72357,,399996,399999,,,
172,195797460,195725108,72352,,399995,400000,,,
173,196197456,196125108,72348,,399996,400000,,,
174,196597520,196525107,72413,,400064,399999,,,
175,196997481,196925107,72374,,399961,400000,,,
176,197397477,197325107,72370,,399996,400000,,,
177,197797473,197725106,72367,,399996,399999,,,
178,198197468,198125106,72362,,399995,400000,,,
179,198597464,198525106,72358,,399996,400000,,,
180,198997528,198925105,72423,,400064,399999,,,
181,199397489,199325105,72384,,399961,400000,,,
182,199797485,199725105,72380,,399996,400000,,,
183,200197481,200125104,72377,,399996,399999,,,
184,200597476,200525104,72372,,399995,400000,,,
185,200997472,200925104,72368,,399996,400000,,,
186,201397468,201325103,72365,,399996,399999,,,
187,201797463,201725103,72360,,399995,400000,,,
188,202197459,202125103,72356,,399996,400000,,,
189,202597455,202525102,72353,,399996,399999,,,
190,202997450,202925102,72348,,399995,400000,,,
191,203397514,203325102,72412,,400064,400000,,,
192,203797476,203725101,72375,,399962,399999,,,
193,204197471,204125101,72370,,399995,400000,,,
194,204597467,204525101,72366,,399996,400000,,,
195,204997463,204925100,72363,,399996,399999,,,
196,205397458,205325100,72358,,399995,400000,,,
197,205797454,205725099,72355,,399996,399999,,,
198,206197518,206125099,72419,,400064,400000,,,
199,206597479,206525099,72380,,399961,400000,,,
200,206997475,206925098,72377,,399996,399999,,,
201,207397471,207325098,72373,,399996,400000,,,
202,207797466,207725098,72368,,399995,400000,,,
203,208197462,208125097,72365,,399996,399999,,,
204,208597458,208525097,72361,,399996,400000,,,
205,208997453,208925097,72356,,399995,400000,,,
206,209397449,209325096,72353,,399996,399999,,,
207,209797445,209725096,72349,,399996,400000,,,
208,210197508,210125096,72412,,400063,400000,,,
209,210597470,210525095,72375,,399962,399999,,,
210,210997466,210925095,72371,,399996,400000,,,
211,211397461,211325095,72366,,399995,400000,,,
212,211797457,211725094,72363,,399996,399999,,,
213,212197453,212125094,72359,,399996,400000,,,
214,212597448,212525094,72354,,399995,400000,,,
215,212997444,212925093,72351,,399996,399999,,,
216,213397508,213325093,72415,,400064,400000,,,
217,213797469,213725093,72376,,399961,400000,,,
218,214197465,214125092,72373,,399996,399999,,,
219,214597461,214525092,72369,,399996,400000,,,
220,214997456,214925092,72364,,399995,400000,,,
221,215397452,215325091,72361,,399996,399999,,,
222,215797448,215725091,72357,,399996,400000,,,
223,216197443,216125091,72352,,399995,400000,,,
224,216597439,216525090,72349,,399996,399999,,,
225,216997435,216925090,72345,,399996,400000,,,
226,217397498,217325090,72408,,400063,400000,,,
227,217797460,217725089,72371,,399962,399999,,,
228,218197456,218125089,72367,,399996,400000,,,
229,218597451,218525089,72362,,399995,400000,,,
230,218997447,218925088,72359,,399996,399999,,,
231,219397511,219325088,72423,,400064,400000,,,
232,219797472,219725088,72384,,399961,400000,,,
233,220197468,220125087,72381,,399996,399999,,,
234,220597464,220525087,72377,,399996,400000,,,
235,220997459,220925087,72372,,399995,400000,,,
236,221397455,221325086,72369,,399996,399999,,,
237,221797451,221725086,72365,,399996,400000,,,
238,222197446,222125086,72360,,399995,400000,,,
239,222597442,222525085,72357,,399996,399999,,,
240,222997506,222925085,72421,,400064,400000,,,
241,223397467,223325085,72382,,399961,400000,,,
242,223797463,223725084,72379,,399996,399999,,,
243,224197459,224125084,72375,,399996,400000,,,
244,224597454,224525084,72370,,399995,400000,,,
245,224997450,224925083,72367,,399996,399999,,,
246,225397446,225325083,72363,,399996,400000,,,
247,225797441,225725082,72359,,399995,399999,,,
248,226197437,226125082,72355,,399996,400000,,,
249,226597433,226525082,72351,,399996,400000,,,
250,226997428,226925081,72347,,399995,399999,,,
251,227397424,227325081,72343,,399996,400000,,,
252,227797488,227725081,72407,,400064,400000,,,
253,228197449,228125080,72369,,399961,399999,,,
254,228597445,228525080,72365,,399996,400000,,,
255,228997441,228925080,72361,,399996,400000,,,
256,229397436,229325079,72357,,399995,399999,,,
257,229797432,229725079,72353,,399996,400000,,,
258,230197496,230125079,72417,,400064,400000,,,
259,230597457,230525078,72379,,399961,399999,,,
260,230997453,230925078,72375,,399996,400000,,,
261,231397449,231325078,72371,,399996,400000,,,
262,231797444,231725077,72367,,399995,399999,,,
263,232197440,232125077,72363,,399996,400000,,,
264,232597436,232525077,72359,,399996,400000,,,
265,232997431,232925076,72355,,399995,399999,,,
266,233397427,233325076,72351,,399996,400000,,,
267,233797423,233725076,72347,,399996,400000,,,
268,234197486,234125075,72411,,400063,399999,,,
269,234597448,234525075,72373,,399962,400000,,,
270,234997444,234925075,72369,,399996,400000,,,
271,235397439,235325074,72365,,399995,399999,,,
272,235797435,235725074,72361,,399996,400000,,,
273,236197431,236125074,72357,,399996,400000,,,
274,236597426,236525073,72353,,399995,399999,,,
275,236997490,236925073,72417,,400064,400000,,,
276,237397452,237325073,72379,,399962,400000,,,
277,237797447,237725072,72375,,399995,399999,,,
278,238197443,238125072,72371,,399996,400000,,,
279,238597439,238525072,72367,,399996,400000,,,
280,238997434,238925071,72363,,399995,399999,,,
281,239397430,239325071,72359,,399996,400000,,,
282,239797426,239725071,72355,,399996,400000,,,
283,240197421,240125070,72351,,399995,399999,,,
284,240597417,240525070,72347,,399996,400000,,,
285,240997413,240925070,72343,,399996,400000,,,
286,241397476,241325069,72407,,400063,399999,,,
287,241797438,241725069,72369,,399962,400000,,,
288,242197434,242125069,72365,,399996,400000,,,
289,242597429,242525068,72361,,399995,399999,,,
290,242997425,242925068,72357,,399996,400000,,,
291,243397421,243325068,72353,,399996,400000,,,
292,243797416,243725067,72349,,399995,399999,,,
293,244197412,244125067,72345,,399996,400000,,,
294,244597476,244525066,72410,,400064,399999,,,
295,244997437,244925066,72371,,399961,400000,,,
296,245397433,245325066,72367,,399996,400000,,,
297,245797429,245725065,72364,,399996,399999,,,
298,246197424,246125065,72359,,399995,400000,,,
299,246597420,246525065,72355,,399996,400000,,,
300,246997416,246925064,72352,,399996,399999,,,
301,247397411,247325064,72347,,399995,400000,,,
302,247797475,247725064,72411,,400064,400000,,,
303,248197437,248125063,72374,,399962,399999,,,
304,248597432,248525063,72369,,399995,400000,,,
305,248997428,248925063,72365,,399996,400000,,,
306,249397424,249325062,72362,,399996,399999,,,
307,249797419,249725062,72357,,399995,400000,,,
308,250197415,250125062,72353,,399996,400000,,,
309,250597411,250525061,72350,,399996,399999,,,
